"date","steps","caloriesOut"
2017-09-03,9940,2934
2017-09-04,9464,2962
2017-09-05,11034,2945
2017-09-06,9654,2770
2017-09-07,10372,2981
2017-09-08,12992,3274
2017-09-09,6887,2947
2017-09-10,7539,2607
2017-09-11,8883,3086
2017-09-12,9873,3073
2017-09-13,11518,3303
2017-09-14,7126,2776
2017-09-15,13211,3175
2017-09-16,4199,2440
2017-09-17,7113,2639
2017-09-18,1693,2422
2017-09-19,8252,2940
2017-09-20,11800,3234
2017-09-21,9956,2972
2017-09-22,15068,3518
2017-09-23,9589,3125
2017-09-24,12137,3067
2017-09-25,25715,4498
2017-09-26,20082,3931
2017-09-27,3938,2381
2017-09-28,13664,3314
2017-09-29,2824,2542
2017-09-30,5830,4249
2017-10-01,4593,2639
2017-10-02,11672,3330
2017-10-03,8426,3114
2017-10-04,4068,2548
2017-10-05,7389,2851
2017-10-06,6759,2759
2017-10-07,15164,3550
2017-10-08,8571,3003
2017-10-09,4955,2583
2017-10-10,5282,2701
2017-10-11,6090,2790
2017-10-12,5982,2634
2017-10-13,4988,2599
2017-10-14,2268,2347
2017-10-15,1700,2212
2017-10-16,7256,2804
2017-10-17,6599,2778
2017-10-18,4803,2537
2017-10-19,6061,2737
2017-10-20,10419,3413
2017-10-21,3548,2393
2017-10-22,11247,3123
2017-10-23,11805,3124
2017-10-24,4722,2508
2017-10-25,7386,2722
2017-10-26,8500,2932
2017-10-27,9320,2935
2017-10-28,2246,2324
2017-10-29,5801,2645
2017-10-30,3794,2501
2017-10-31,5581,2547
2017-11-01,14902,3441
2017-11-02,14254,3462
2017-11-03,8193,2860
2017-11-04,8704,2882
2017-11-05,4155,2526
2017-11-06,6727,2768
2017-11-07,4584,2562
2017-11-08,3723,2490
2017-11-09,6308,2642
2017-11-10,4505,2625
2017-11-11,2544,2263
2017-11-12,3043,2266
2017-11-13,5026,2694
2017-11-14,5275,2588
2017-11-15,8285,2904
2017-11-16,10501,3115
2017-11-17,7075,2735
2017-11-18,7150,3168
2017-11-19,1357,2168
2017-11-20,4657,2551
2017-11-21,7861,2835
2017-11-22,4887,2670
2017-11-23,12887,4352
2017-11-24,13384,3321
2017-11-25,11887,3446
2017-11-26,5681,2645
2017-11-27,6656,2651
2017-11-28,7583,2725
2017-11-29,9164,2903
2017-11-30,12208,3151
2017-12-01,4325,2580
2017-12-02,2703,2414
2017-12-03,18182,3600
2017-12-04,4315,2481
2017-12-05,6085,2635
2017-12-06,5213,2786
2017-12-07,6184,2953
2017-12-08,6271,2668
2017-12-09,162,1922
2017-12-10,5279,2599
2017-12-11,8075,2742
2017-12-12,5136,2597
2017-12-13,4546,2574
2017-12-14,11299,3062
2017-12-15,6283,2852
2017-12-16,246,2100
2017-12-17,1684,2307
2017-12-18,5113,2698
2017-12-19,11135,3077
2017-12-20,10322,2998
2017-12-21,6408,2724
2017-12-22,5634,2833
2017-12-23,14203,3786
2017-12-24,6686,2741
2017-12-25,4776,2601
2017-12-26,2747,2431
2017-12-27,12634,3290
2017-12-28,11148,3170
2017-12-29,3534,2424
2017-12-30,6282,2575
2017-12-31,6952,2734
